Label,Sentence
0,계기로 아마
0,생각하고 그러니깐 말이야 
0,잘 제어할 수 있는
0,그거 신규 아니 그거 신규 아니라
0,그런 생각을 합니다 
0,응 지금 뭐
0,그 악동뮤지션하고 같이한 전쟁터
0,조금 벗어난 곳에 생기는 거지 왜냐하면은
0,요즘에는 남자 아이돌이 그렇게까지 안 보이는 거 같다 
0,그러니까 년 넘게 연락하고 지내는 이러 관계가 생기 쉽단 말이야 이제는 
0,뭐 석류 콜라겐도 먹고
0,응 예전에 전부 다 아저씨들이나 아줌마들이 했었는데
0,다고 생각을 해 
0,친구 중에 있었던 친구들이니까 다들
0,찾아보는 중이기도 해 
0,우리 식구들은 별다른 걸 좋아하는 거 같진 않고 아이 고민이네 
0,정신줄 놓고 가다가
0,그것도 뭐 비슷한 맥락인 거 같은데 이제
0,팔 살도 많아 가지고 확실히
0,그래서 집에서 인제 기다리고 있으면
0,그 친구 결혼할 때 축의금
0,근데 테니스를 안 친다 그래도
0,가장 큰 이유인데
0,좀 열심히 못 했어 그래서 당연히 대학은 조금만 공부를 하면
0,책임감 이런 것들이 있어서
0,그 제한을
0,근데 네 사이즈를 알고
0,일단은 근데 거북이는 조금 자세히 보면 되게
0,근데 궁극적인 목표는 대면인 거잖아요 일상생활의 회복
0,요즘에는 자기는 뭐 하는 거야 
0,눈꽃축제도 되게 좋았던 거 같고
0,어 내가 평발이 거든 그래서 그런 거 같아 
0,나쁘지 않더라고 생각보다 가격은 좀 비싼 편이긴 한데 
0,연결된 부분들을 이제 생각해 보고
0,꿈꾸고 난 이런 반복인 거 같아 
0,내가 찍어 달라는 말도 안 했고
0,다 밀접한 관계가 있는 거 같아 
0,이렇게 안 좋게 그런 것들을 
0,지금 허리도 많이 굽고 무릎도 너무 안 좋으셔서 요즘은 거의 집에 계시지 
0,그렇게 한번 만드는 게 어떤가 하는 생각이 듭니다 
0,약간 좀 그런 거 같고
0,심장하고 뇌파만 살아 있는 거야 
0,어 여 여태까지 들었던 것 중에
0,그래서 조금 인제 열심히 하다 보니까 인제 자신감이 생기고
0,근데 학교 다니면서 우리도 그 지역내에서
0,위험을 줄이기 위해 뭐 이런 걸 위해서
0,약간 이런 생각
0,좀 집중적으로 다른 운동을 하고 어차피 학기 중에는 시간이 시간 여유가 좀 없잖아
0,밥 먹으면서 원래 음악 프로 보는 게
0,컴퓨터도 많이 하긴 했지만 나가서 많이 놀기도 했을 때여서
0,구할 수 있는 확률이 얼마나 될까
0,내가 생각을 했을 때는
0,근데 아직도 뭔가 거기를 찾는 사람들을 보면
0,미 많이 미안할 것 같아서
0,우연한 기회에 건설 쪽으로 뛰어든 거지 
0,내가 굳이 신경 안 써도
0,그럼 너는 혹시
0,내가 유일하게 좋아하는 음식이 국밥이야 
0,어 그 요즘에 티빙에 술꾼 도시 여자들이라고 정은지랑 이선빈이랑
0,다고 그렇게 생각을 해요 
0,조금 너무나
0,노래 듣는 사이트도
0,계셨던 건데 이제 에이티엠기라는 기계가 도입되고 나서
0,굳이 거기 갈 필요가 있어 
0,그거는 수영 못 해도 상관없는 거지 
0,내가 뭐 다 나중에 어 나중에 되면 할게 
0,그 피해 받는 사람이
0,아예 노이즈 캔슬링 하는 거 할 거면 차라리
0, 인이라고 하면은 인제 자기 주변에서
0,나하고 이제 같이 가서
0,잘한다는 거는 뭐 알긴 알았지만은
0,나도 먹어 봤는데
0,근데 사실 나는 치킨은 별로 안 좋아해 
0,저녁 먹으면서도 볼 수 있었고
0,오징어 게임을 보진 않았지만 오징어 게임 관련된 밈이나
0,그래서 렌트에 대해
0,너 지난번에 나랑 같이 화천 안 갔었나 
0,혹시 고양이나 강아지 키우시나요 
0,근데 카카오 네이버 뭐 다
0,이런 게 다
0,어 맞아 진짜 이 명절 시즌에는
0,술 먹으면 근데
0,나이 드신 분들이
0,더 크고 그러면은 이제 우리가 이제 서로
0,뭐 핸드폰이나 이런 것처럼
0,우리 집은 아직까진 아빠가 좀 세 가지고
0,근데 너
0,너무 확대되면
0,올릴수록 을 맞으면서 계속 떨어지는 거야 
0,아무래도 하나 계속 뭔가를 오래 가는 건 아니잖아 
0,거기에서 혹시 자격증 뭐 있는 거 있어 
0,서로 코드나 이제 생각이 맞아야 그게 행복하지 친구들도
0,그래서 그거는
0,뭐 우리 같이 뭐
0,회계나 세무사나 곧
0,왜냐하면 거기에
0,바로 취직하고 싶어 했었잖아 
0,되게 좋았던 거 같아 
0,어쨌든 이게 기본요금 원이니까 분당 가면 
0,해서 졸업 빨리 해야지 나는
0,나 아는 사람
0,엄청 많이
0,아 근데 너 그 봤어 걔네 그 뭐지 
0,같은 회사에서 만나고 그랬으니까 
0,라는 생각이 들어 
0,일자리가 생기지 않을까 
0,근데 어제 카드를 쓰는데 
0,아이 그래 가지고
0,너무 그렇게 막 늦은 것도 아니잖아 
0,장시간 일을 하게끔
0,근데 이제 축구를 되게 많이 하면서 친해진 거 같은데
0,나는 잘 할 수 있는데
0,내가 면허증
0,의식으로 진행을 해야 된다고 생각하니까
0,보면은 그런 경우가 없어 
0,자기가 먹고 싶다니까
0,내가 봤을 때는 한 번 그렇게
0,밥값 정도는 아끼고 약간 그런 식으로
0,바로 알던데 
0,그렇게 여론만 따르게 되다가는 포퓰리즘적인 정책
0, 인치 까지 나와서
0,그래서 나는 얘는 이것도 이 점도 사실
0,우리 우리 솔직히 연애할 때 맨날 술 먹고 놀았는데
0,너는 졸업 했으면 좀
0,맨날 휴대폰만 보고 하루종일 집안에만 있는데
0,같이 힘들더라도 비대면 생활로
0, 월까지 면은
0,네 언니는 잠옷 입고 자요 아니면
0,씨지는 다 괜찮게 만드는 거 같더라고
0,우리 거기서 뭐 할까 
0,아무래도 근육을 쓰는 사람들이다 보니까 주로 단백질을 많이 먹는 거 같거든 
0,했던 아이돌 받아쓰기 대회인가
0,놀면 뭐 하니가 유재석 나오는 거 맞나 
0,어쨌건 지하철과 버스를 잘 연결을 하면
0,그래서 무조건 한 달 전 최소 한 달 전에
0,어떤 사고가 발생했을 때 아마 확인을 하게 될 텐데
0,사람들이 엄청 가득 차 있어서 깜짝 놀랐어 
0,그런 거 어떤 플랫폼이 더 많아져서
0,지금까지 유지를 하고 있고 그런 거 되게 대단한 거 같아요 근데 또 그만큼
0,너무 잘 부르더라고
0,되게 아름답게 갔셨던 거 같아 
0,아 그렇구나 그러면은 저기 우리 저기 식사 뭐 좋은 집 있거나 좋은 레시피 있으면 서류 공유해 주는 걸로 하자 
0,바로 지역 이기주의라고 보거든 내 지역에는 
0,내가 스스로 컨트롤하는 수밖에 없는 거 같아 병원에 갈 정도는 아니니까
0,그러니까 너도 학교 다니면 기숙사가 있잖아 
0,법으로 정하기는 좀 힘들 거 같아
0,아 뿌링핫도그 이런 거 
0,솔직히 얘랑 막 손 잡는 상상하고 막 소름 돋고 그럴 수도 있잖아 
0,그런 얘기지 
0,그 대신 먼저 그 어플로
0,그런 상 생각이야 
0,나는 택시를 요새 진짜 많이 타는 거 같아 
0,우리 할머니가 고생하는 거에 대해서
0,우파 맨날 보지 않냐 
0,그래 저번에 네가 너가 현혈 했을 때 엄마 마음이 얼마나 뿌듯한지 아냐
0,부인 때문에 쉽게 나오지도 못하고
0,한 몇 만 원에 살 듯
0,생각 밖에 없었던 거 같아 
0,예전 완전 옛날에 생각해 보면
0,아이폰 이나
0,부모님 돌아가시면 그런 게 아무것도 안 들어오면 어떡하나 뭐
0,그럼 그게 일단 그게 친구가 맞아 
0,죽은 사람도 뭐 할 때 그것도 다 돈이 관도 여러 가지야 다 돈이야 
0,아 너희 과는 남 남학생이 너무 없어 학교는 남자가 우글우글한데 어
0,언젠가는 뛸 날이 오지 않을까 싶기는 해 지금은
0,그래서 좀 더 공공장소에서 에티켓
0,다 팔았어 
0,솔직히 난 좀 스트레스 받거든 진짜로
0,내가 이 회사 혹은 이 직업에 맞는지를 평가할 수 있는 기회가 있는 것 같아서
0,좋아하거나 뭐 자주 부르는 노래
0,그 밤 늦게 놀고 가도 괜찮은데 집이 약간 좁고 하니까
0,체크하시면서 보는 게 있더라고요
0,예를 들어 뭐 아이패드 갤럭시 패드 같은 걸 많이 사용하긴 하는데
0,에이아이 약간
0,너는 어머니께서 그런 베이킹을 옛날부터 하셨잖아 
0,맞다 엊그제 그거 봤거든 
0,내가 봐도 그런 거 같아 
0,그런 것 때문에 호불호가 조금 갈리더라 
0,비대면 부분에
0,그래서 그럴 때는 이제 내가 먹고 싶은 거 먹어야지 
0,인구 조사도 해 가지고 좀
0,거기서 설현 목소리가 그렇게 좋은지 처음 알았잖아 
0,그러니까 너는 가을 가디건이나 막 자켓 같은 거는 별로 없지 
0,같이 떨어질까 봐 또 떨어질까 봐 문제인 거지 나는
0,아이들은 엄청 많잖아 
0,거기에서 그 허니제이
0,저희 아들도 나이키 신발이 지금
0,어떤 사람이 공장에 가서 일을 하냐고
